nombre,precio_aliados,precio_sin_descuento,spot_price
Televisor + barra samsung un43tu6900 crystal uhd smart tv 4k bluetooth,,$ 1.799.000,$ 1.439.900
Monitor samsung 22 f22t350fhl ips 75hz,,$ 489.999,$ 398.999
Televisor led caixun 80 cms 32 pulgadas hd smart cx32s1sm - caixun,,$ 1.299.900,$ 589.900
Monitor lg 22 pulgadas 22mk400h,,$ 399.999,$ 369.690
Tv box 4k convierte en smart tv android 7.1 ram 1gb rom 8gb,,$ 210.000,$ 102.800
Televisor virzo 50 pulgadas uhd 4k smart vz501uhd,,$ 1.579.900,$ 1.079.000
Televisor lg 65 pulgadas uhd 4k 65un7100 smart tv,,$ 3.200.000,$ 2.249.989
Monitor lg 34 34bk650-w ultrawide ips,,$ 1.699.999,$ 1.589.899
Televisor lg 60 pulgadas uhd 4k 60un7310 smart tv,,$ 2.999.900,$ 1.959.900
Monitor lg 32 ips full hd 32mn600p-b,,$ 899.000,$ 784.900
Monitor samsung 27 75hz ls27r350fhlxzl,,$ 889.900,$ 829.900
Monitor lg ultrawide 29 29wn600-w hdr ips,,$ 1.299.990,$ 1.106.895
Xiaomi mi box s 4k ultra hd android tv set top box,,$ 349.900,$ 299.900
Monitor lg led de 24 24mk430h full hd ips,,$ 599.999,$ 466.790
Soporte de pared tv 32-55 pulgadas north bayou nb p4,,$ 69.900,$ 53.900
Monitor samsung de 24 curvo lc24f390fhlxz,,$ 749.900,$ 579.999
Soporte tv movil de piso nb north bayou ava 1500 32 a 65,,$ 499.000,$ 399.900
Monitor lg ips de 24 full hd freesync 75hz hdmi 24mk430h-b,,$ 575.999,$ 466.790
Monitor lg ips gaming 24 pulgadas 24mp59g-p negro,,$ 799.990,$ 639.731
Soporte base tv montura pared movil televisor 14 - 55 pulg,,$ 69.900,$ 39.800
Soporte base para pared movil televisor tv 14 - 46 pulgadas,,$ 60.000,$ 35.900
Base de brazo pata tv hdl117b-2 de 14 hasta 55 pulgadas,,$ 79.900,$ 44.500
Televisor led caixun 75 pulgadas 189 cms uhd 4k smart cx75e1usm,,$ 5.999.900,$ 2.879.900
Televisor led caixun 40 pulgadas 102 cms fhd smart cx40n1fsm,,$ 1.599.900,$ 815.900
Televisor led caixun 147 cms 58 pulgadas 4k uhd cx58n3usm,,$ 3.399.900,$ 1.495.900
Tv led 147 cms (58) uhd smart hyundai 58 pulgadas hyled5805n,$ 1.499.925,$ 1.999.900,
Tv led 127cm (50 ) uhd smart,$ 1.014.840,$ 1.699.900,
Tv led 100 cms (40) fhd smart simply turn on 40 pulgadas syled406ix,,,$ 859.900
Monitor 21.5 pulgadas fhd hp 22yh,,$ 649.000,$ 376.420
"Tv qled 127 cms(50"") uhd smart samsung 50 pulgadas smart tv qn50q60tak",,$ 3.299.900,$ 1.999.900
"Tv led 140 cms (55"")uhd smart aoc 55 pulgadas 55u6295",,$ 2.399.900,$ 1.349.900
Monitor hp 21.5 pulgadas fhd 22f,,$ 549.000,$ 477.630
Monitor samsung 27 curvo fhd freesync c27r500 borde delgado,,$ 999.999,$ 867.699
Televisor 43 pulgadas samsung 43tu8000 led 4k-uhd smart tv,,$ 1.799.000,$ 1.279.000
"Xiaomi mi tv stick convertidor a smart tv - netflix, youtube, hbo",,$ 239.900,$ 199.900
